s,trip_seconds,trip_miles,fare,tips,tolls,trip_total,payment_type
0,180.0,0.4,4.5,0.0,0.0,4.5,0
1,240.0,0.7,4.45,4.45,0.0,8.9,1
2,0.0,0.0,42.75,5.0,0.0,47.75,1
3,480.0,1.1,7.0,0.0,0.0,7.0,0
4,480.0,2.71,10.25,0.0,0.0,10.25,0
5,1080.0,6.2,17.75,0.0,0.0,17.75,0
6,1500.0,18.4,45.0,12.0,0.0,57.0,1
7,60.0,0.2,3.75,0.0,0.0,3.75,0
8,180.0,0.0,5.0,2.0,0.0,8.5,1
9,0.0,0.0,3.25,0.0,0.0,4.75,0
10,480.0,1.3,7.0,1.0,0.0,8.0,1
11,420.0,0.0,7.25,0.0,0.0,7.25,0
12,1380.0,5.1,17.25,5.18,0.0,22.43,1
13,420.0,0.0,6.25,0.0,0.0,6.25,0
14,480.0,0.1,9.0,0.0,0.0,9.0,0
15,720.0,0.0,10.75,0.0,0.0,10.75,0
16,720.0,2.2,10.0,0.0,0.0,10.0,0
17,300.0,0.8,5.5,0.0,0.0,5.5,0
18,420.0,0.0,6.75,0.0,0.0,6.75,0
19,660.0,4.1,11.85,3.0,0.0,15.85,1
20,720.0,2.5,10.25,1.75,0.0,12.0,1
21,720.0,0.2,12.25,2.0,0.0,15.25,1
22,0.0,0.0,3.25,0.0,0.0,3.25,0
23,360.0,0.0,6.5,0.0,0.0,6.5,0
24,0.0,0.0,10.75,2.69,0.0,13.44,1
25,1740.0,11.5,31.25,0.0,0.0,35.25,0
26,360.0,0.0,6.0,0.0,0.0,6.0,0
27,0.0,0.0,22.0,1.5,0.0,23.5,1
28,2040.0,17.4,44.75,8.95,0.0,53.7,1
29,180.0,0.7,5.0,2.0,0.0,7.0,1
30,240.0,0.6,4.85,0.0,0.0,6.35,0
31,600.0,0.9,7.0,1.11,0.0,8.11,1
32,840.0,0.4,20.0,2.0,0.0,22.0,1
33,1020.0,7.8,18.85,0.0,0.0,18.85,0
34,0.0,0.0,0.0,0.0,0.0,0.0,0
35,420.0,2.8,9.5,0.0,0.0,9.5,0
36,360.0,0.0,7.0,2.0,0.0,10.0,1
37,360.0,1.3,6.5,2.0,0.0,8.5,1
38,540.0,0.78,7.0,0.0,0.0,8.0,0
39,0.0,0.0,3.25,0.65,0.0,3.9,2
40,480.0,1.6,7.75,0.0,0.0,7.75,0
41,180.0,0.6,4.75,0.0,0.0,4.75,0
42,0.0,0.0,3.25,0.0,0.0,3.25,0
43,360.0,0.9,6.25,2.0,0.0,8.25,1
44,120.0,0.2,4.0,0.0,0.0,5.0,0
45,480.0,0.0,8.5,2.0,0.0,10.5,1
46,720.0,1.3,9.0,1.0,0.0,10.0,1
47,420.0,1.4,7.0,0.0,0.0,7.0,0
48,2880.0,17.3,43.5,9.5,0.0,57.0,1
49,420.0,0.0,7.0,0.0,0.0,9.0,0
50,960.0,3.5,12.5,0.0,0.0,13.5,0
51,360.0,0.9,6.25,0.0,0.0,6.25,0
52,360.0,1.2,6.5,2.0,0.0,9.5,1
53,360.0,0.8,5.45,1.0,0.0,6.45,1
54,900.0,5.5,15.25,0.0,0.0,15.25,0
55,480.0,1.2,7.0,1.0,0.0,8.0,1
56,540.0,3.8,10.85,0.0,0.0,12.35,0
57,2940.0,21.1,52.25,0.0,0.0,56.25,0
58,420.0,1.3,6.75,0.0,0.0,7.75,0
